evaluation,label,正面为0，中立为1，负面为2,,,,,,,,,,,,,,,,,,,
你说的最好是吧，最好医院没事，建议专门定点医院治疗。,1,1,,,,,,,,,,,,,,,,,,,
防疫爱好者们很失望吧。,1,1,,,,,,,,,,,,,,,,,,,
从前是农村包围城市获得胜利，一旦农村沦陷看你们吃什么喝什么，农村可是以老年人小孩居多。,"2,19,21","2,19,21",,,,,,,,,,,,,,,,,,,
多看一段时间，才能看得更加清楚。,1,1,,,,,,,,,,,,,,,,,,,
我只相信已经阳了的人说的话这刀子不落在自己身上都不知道疼的。,"2,15,30","2,15,30",,,,,,,,,,,,,,,,,,,
用数据说话，给群众一个交代，这样就不会引起大家的恐慌了！,1,1,,,,,,,,,,,,,,,,,,,
严格管控的时候，每天不断新增病例，全面放开了，每天新增一千多，医院也没有拥挤，但新冠常备药可以全国缺货，互联网电商没有地域优越，那广州复课开学了吗？,1,1,,,,,,,,,,,,,,,,,,,
我这今天开始三天三检，凭阴性进入。,1,1,,,,,,,,,,,,,,,,,,,
新闻导向终于醒了，太不容易了。但是现在说这话为时尚早，短期内病例增加是必然趋势，三个月内管理部门和医疗机构要严阵以待。从以上媒体引导，依然看到的是缺乏科学素养和逻辑思维，报道只为上、不为实，中国的基础教育、科学教育、法治思想任重道远。,"2,75,86","2,75,86",,,,,,,,,,,,,,,,,,,
高兴的太早了，过几周再看吧。,"2,1,7","2,1,7",,,,,,,,,,,,,,,,,,,
乱说，一个阳性都没有。,1,1,,,,,,,,,,,,,,,,,,,
实际实况:发热门诊每天100个阳性，只要现在发热，基本是新冠没跑了。不测就没有，你再测一次全区核酸看看。,"2,19,34","2,19,34",,,,,,,,,,,,,,,,,,,
放开是大势所趋，单节省的财政支出就是天文数字。大春运即将到来，相信能平稳过渡，不给防疫爱好者攻击借口！,"0,32,34","0,32,34",,,,,,,,,,,,,,,,,,,
原本相安无事的小县城现在封控了！每晚都噩梦家人感染了。,"2,20,22","2,20,22",,,,,,,,,,,,,,,,,,,
保持住！挺住！全国都放开+即将到来的春运都是大的考验！,"0,1,4","0,1,4",,,,,,,,,,,,,,,,,,,
我只想，最好还是别感染吧！希望身边的人都健健康康的，该吃吃该睡睡。,"0,20,24","0,20,24",,,,,,,,,,,,,,,,,,,
按照这个图颜色从南到北，三个月应该可以全覆盖。奥密克戎我们准备好了，你受死吧世界杯结束后，应该会迎来一个美好的春天吧！,"0,53,58","0,53,58",,,,,,,,,,,,,,,,,,,
我认为不可能出现医疗资源挤兑的情况，道理很简单，一、 这个病毒并不严重，和感冒的症状差不多；二、现在感染病毒的人，出现症状后，是不会去医院的，因为怕隔离，害怕家里被消杀；三、感染几天后发现病情并不严重，自然更不会去医院了。,"0,30,36","0,30,36",,,,,,,,,,,,,,,,,,,
广州医院的发热门诊都开了吗？武汉的发热门诊都停的快没了，发这样的词条，给人产生误导怎么办？奥密克戎传染性那么强，戴口罩勤洗手少在外面吃饭，做好防护不生病最好。,"2,40,42","2,40,42",,,,,,,,,,,,,,,,,,,
别的我不清楚，就知道前天单位做核酸，昨天就有10几位同事核酸结果异常，再做核酸，有几位同事阳性初筛，包括我们办公室的一位同事，没放开之前我们单位做核酸是从没出事的。所以话题是想说明什么？,"2,29,35","2,29,35",,,,,,,,,,,,,,,,,,,
能过个好年了。,"0,4,6","0,4,6",,,,,,,,,,,,,,,,,,,
别自欺欺人了老铁，不让做核酸肯定变少了啊。,"2,2,6","2,2,6",,,,,,,,,,,,,,,,,,,
是就诊人数无增加，还是无法就诊。,"2,12,16","2,12,16",,,,,,,,,,,,,,,,,,,
掩耳盗铃，还天天宣传挺自豪的样子哈，确诊人数多不多你们自己没点B数？核酸点都不给核酸了，鬼知道有多少阳性哦。,"2,1,5","2,1,5",,,,,,,,,,,,,,,,,,,
既然优化调整疫情防控措施已是大势所趋，逐步放开已成为必然，那就坦然接受吧:个人防护不放松，当好自己健康的第一责任人；心理上不焦虑，相信政府、专家对奥密克戎及疫情形势的综合研判，相信科学，更要相信自己！,"0,66,70","0,66,70",,,,,,,,,,,,,,,,,,,
每次做核酸像开盲盒一样……医务人员先轮流来一遍再说。,"2,1,12","2,1,12",,,,,,,,,,,,,,,,,,,
搁以前焊铁门是无用功？,1,1,,,,,,,,,,,,,,,,,,,
能不能控制一下这种散发谣言的人呢？真晦气啊，晚上刷个小红书吧，刷见个这玩意儿，说感染四次就会死，想问问这种人的结论怎么得出来的？,"2,19,21","2,19,21",,,,,,,,,,,,,,,,,,,
唯一想知道的点是核酸阳性是自我居家隔离还是要求地点隔离？,1,1,,,,,,,,,,,,,,,,,,,
广州人民感觉生活一切正常，ip不在广州的就不要说了好吧。,"0,9,13","0,9,13",,,,,,,,,,,,,,,,,,,
防疫爱好者（核酸公司水军）开始跳脚了，建议不接受放开可以自我居家，利人利己,"2,16,18","2,16,18",,,,,,,,,,,,,,,,,,,
法国今天感染人数破10万了，死亡117人（只医院死亡，不包括养老院）。,1,1,,,,,,,,,,,,,,,,,,,
只希望能尽快研制出特效药，能晚感染就晚感染,1,1,,,,,,,,,,,,,,,,,,,
下班回来我隔壁的阳了一晚上都睡不着，在想自己阳了怎么办，现在核酸检测都做不了，风险真的好大。,"2,40,46","2,40,46",,,,,,,,,,,,,,,,,,,
很棒，没有出现上海死几百人的状况，说明现在是开放的最好时机。,"0,1,3","0,1,3",,,,,,,,,,,,,,,,,,,
这才一周时间呢，好久没看到潜伏期这个词了，几天来着？,1,1,,,,,,,,,,,,,,,,,,,
很好呀，实践证明那重症确实很低调很低。自己无症状或者轻症的在家休息就好了，社会继续运转。这些人即便阳了不做核酸不纳入统计了，就是这结果。可以多几个城市继续看看。,"1,1,3","1,1,3",,,,,,,,,,,,,,,,,,,
我只知道有起码两家医院暂时停诊了罢了。咱也不知道是不是非三甲就可以停。,1,1,,,,,,,,,,,,,,,,,,,
什么时候能打下核酸盒的价格啊自测核酸已经是大势所趋那怎么还卖的这么贵七八块一份啊,1,1,,,,,,,,,,,,,,,,,,,
身边的朋友多多少少感冒发烧咳嗽了 就诊的医院现在都不接纳了 只能说自己保护好自己吧,1,1,,,,,,,,,,,,,,,,,,,
目前都还在观望期，很多人即使阳了也是在自我居家康复中。生理上的难受，和去方舱的难受相比，很多人选择在家。等元旦过后再看吧！,1,1,,,,,,,,,,,,,,,,,,,
这才放开多久，现在的数据不具备参考价值，最少一周之后在看，希望还能是这样,1,1,,,,,,,,,,,,,,,,,,,
微博大批防疫、核酸相关利益者发言，希望引导舆论回到封控时代。医疗挤兑没有发生多好的事，咋有些人阴阳怪气，好像他妈要爆炸了一样。,"2,48,52","2,48,52",,,,,,,,,,,,,,,,,,,
据我所知，确实生活工作恢复了正常，但是阳的肯定越来越多的，不过我们都越来越不关注数字了，生活工作正常就好，身边也有咩了的是自己测抗原出来的，自己隔离，不上报，上报来干嘛呢？过几天就好了。,"0,8,17","0,8,17",,,,,,,,,,,,,,,,,,,
人民不怕放开，只怕核酸检测被造假。,1,1,,,,,,,,,,,,,,,,,,,
防疫爱好者看到这个消息比吃了屎还难受。我绝对相信核酸检测公司花钱操纵现在的舆论。没有任何人比核酸检测公司更希望重回封控生活。,"2,12,19","2,12,19",,,,,,,,,,,,,,,,,,,
能说因为大多数没去检查吗，就是去做核酸每个医院预约人数都是规定好的几百个多了都不行。,"2,3,12","2,3,12",,,,,,,,,,,,,,,,,,,
想问下广州现在阳了要进方舱吗,1,1,,,,,,,,,,,,,,,,,,,
都自己囤药吃药了就诊什么？,1,1,,,,,,,,,,,,,,,,,,,
那确实好啊，但是这才过几天，四十天后等着呢，没事再说,1,1,,,,,,,,,,,,,,,,,,,
就身边同事朋友邻居来看，现在确实还算正常，也看到部分人说就医会有些问题，但开放初期出现一些困难也是正常的，目前应该还属于可控范围，希望人人做好防护，平稳过渡到群体免疫。冬天终会过去。,"0,85,91","0,85,91",,,,,,,,,,,,,,,,,,,
时候未到而已。不懂现在还看码的意义，绿码已经没有真实性了，为何不直接取消。每天的数据也是假的，统计也是浪费时间。不如实事求是，好好躺平，做好医院分级导诊， 倡导大家善用抗原检测包在家定期自查，阳了赶紧自我隔离别出来祸害别人。,1,1,,,,,,,,,,,,,,,,,,,
重启全员核酸，目的是什么？,1,1,,,,,,,,,,,,,,,,,,,
多地取消核酸检测真的吗？,1,1,,,,,,,,,,,,,,,,,,,
看来张珊珊还没落网啊,"2,3,11","2,3,11",,,,,,,,,,,,,,,,,,,
是张珊珊公司的没卖完货,"2,2,5","2,2,5",,,,,,,,,,,,,,,,,,,
看来张珊珊还没有被抓。,"2,3,6","2,3,6",,,,,,,,,,,,,,,,,,,
核酸费用谁买单，这个必须要严查,"2,14,16","2,14,16",,,,,,,,,,,,,,,,,,,
张珊珊说过年没钱了，继续搞点钱花，反正也没人敢处理我。,"2,1,4","2,1,4",,,,,,,,,,,,,,,,,,,
之前屯的试剂啥的不消耗掉怎么做账啊，再说了我该送的礼早就送出去了，突然说不检了，礼又不给退！,"2,34,40","2,34,40",,,,,,,,,,,,,,,,,,,
起风了！起妖风了！,"2,5,9","2,5,9",,,,,,,,,,,,,,,,,,,
棉签上面又有什么新的毒株。,"2,9,13","2,9,13",,,,,,,,,,,,,,,,,,,
新冠暂时沉寂，新骗局又借势出现了，大家看一看，心里有底好预防,"2,8,11","2,8,11",,,,,,,,,,,,,,,,,,,
新冠白肺如何预防和预警？能治愈？,1,1,,,,,,,,,,,,,,,,,,,
新冠疫情期间大家一定要注意自我防范,1,1,,,,,,,,,,,,,,,,,,,
阳过以后还会“复阳”吗,1,1,,,,,,,,,,,,,,,,,,,
造谣违法的，扰乱社会。,1,1,,,,,,,,,,,,,,,,,,,
怎么可能消声灭迹呢？今天还刷到一个朋友中招呢？,"2,1,10","2,1,10",,,,,,,,,,,,,,,,,,,
还是自己得带口罩。,1,1,,,,,,,,,,,,,,,,,,,
新冠病毒怎样才能灭绝？,1,1,,,,,,,,,,,,,,,,,,,
不是消失了，是没有人做怪了。,"2,11,13","2,11,13",,,,,,,,,,,,,,,,,,,
别提专家，不吉利。,"2,6,9","2,6,9",,,,,,,,,,,,,,,,,,,
是太阳风暴杀死的新冠病毒。,1,1,,,,,,,,,,,,,,,,,,,
现在不知道还有上亿的人，还没有康复，都有后遗症。,"2,19,24","2,19,24",,,,,,,,,,,,,,,,,,,
不是消失了，是没人放毒了,"2,10,12","2,10,12",,,,,,,,,,,,,,,,,,,
想的有点美！,"2,1,6","2,1,6",,,,,,,,,,,,,,,,,,,
我们家一个人没阳为什么。,1,1,,,,,,,,,,,,,,,,,,,
专家都把药禁现在给小卫生院搞好了。,1,1,,,,,,,,,,,,,,,,,,,
树欲静而风不止，不能不防。,1,1,,,,,,,,,,,,,,,,,,,
现在也没人喊封控了。,1,1,,,,,,,,,,,,,,,,,,,
这个时候更加危险。,"2,7,9","2,7,9",,,,,,,,,,,,,,,,,,,
打赢了？,1,1,,,,,,,,,,,,,,,,,,,
百分之九十五以上的都阳了。,"2,10,13","2,10,13",,,,,,,,,,,,,,,,,,,
打第四针就会有重组新的毒株，叫德尔塔克荣。,1,1,,,,,,,,,,,,,,,,,,,
弟兄说的太好了。我就没阳，我的三姐，三姐夫也没阳。就是防护做的好。不要恐慌。我还是出门戴口罩。回家勤消毒。,1,1,,,,,,,,,,,,,,,,,,,
幸运的我，但我们一家还没有阳过来。,1,1,,,,,,,,,,,,,,,,,,,
新冠病毒回国了。,1,1,,,,,,,,,,,,,,,,,,,
好像那是人为的啊。,1,1,,,,,,,,,,,,,,,,,,,
那里能消失。,1,1,,,,,,,,,,,,,,,,,,,
还有多少生病的？,1,1,,,,,,,,,,,,,,,,,,,
爱咋地咋地，无所谓了。,1,1,,,,,,,,,,,,,,,,,,,
当初要求重新封控的那批网友，现在再也不出来说话了。,1,1,,,,,,,,,,,,,,,,,,,
加强自我防护意识。,1,1,,,,,,,,,,,,,,,,,,,
肯定是让鞭炮的火药把病毒杀死了。,1,1,,,,,,,,,,,,,,,,,,,
发现一夜之间疫情就消失了！多少企业和个人还在怀念疫情的时光！,1,1,,,,,,,,,,,,,,,,,,,
戴口罩防不防不知道，就知道保暖。,1,1,,,,,,,,,,,,,,,,,,,
张核子，张珊珊是怎么处理的？有谁知道？,1,1,,,,,,,,,,,,,,,,,,,
自从全民核酸结束，病毒也就不见了。,1,1,,,,,,,,,,,,,,,,,,,
感觉突然一下病毒就消失了，好久没有听说谁中标了。,1,1,,,,,,,,,,,,,,,,,,,
只要没人放毒，就不会再有病毒。,1,1,,,,,,,,,,,,,,,,,,,
病毒被烟花炸掉了。,1,1,,,,,,,,,,,,,,,,,,,
迎来春暖花开。,"0,3,7","0,3,7",,,,,,,,,,,,,,,,,,,
疫情过去了，恢复正常生活了。,"0,7,13","0,7,13",,,,,,,,,,,,,,,,,,,
疫情跟着张珊珊、张核子消失了。,"0,12,15","0,12,15",,,,,,,,,,,,,,,,,,,
疫情就此结束吧。,"0,1,7","0,1,7",,,,,,,,,,,,,,,,,,,
疫情已经消失，恢复正常生活了。,"0,8,14","0,8,14",,,,,,,,,,,,,,,,,,,
专家说春节是高峰期。,1,1,,,,,,,,,,,,,,,,,,,
还是今年的炮仗给力，都把病毒和晦气都炸飞了。,"1,8,10","1,8,10",,,,,,,,,,,,,,,,,,,
我是第二次感染了，太难受了。,"2,10,14","2,10,14",,,,,,,,,,,,,,,,,,,
病毒怕了回老家了。,1,1,,,,,,,,,,,,,,,,,,,
疫情已经消失，恢复正常生活了,"0,8,14","0,8,14",,,,,,,,,,,,,,,,,,,
希望疫情结束了再也没有病毒了！,"0,3,8","0,3,8",,,,,,,,,,,,,,,,,,,
病毒可算是消失了。,"0,1,9","0,1,9",,,,,,,,,,,,,,,,,,,
不管怎样做好自我保护就是了。,1,1,,,,,,,,,,,,,,,,,,,
希望再以刷不到关于疫情的视频，恢复正常的生活。,"0,16,23","0,16,23",,,,,,,,,,,,,,,,,,,
愿新年新气象，安好便是晴天！,"0,8,14","0,8,14",,,,,,,,,,,,,,,,,,,
好高兴感觉突然一下病毒就消失了，好久没有听说谁中标了,1,1,,,,,,,,,,,,,,,,,,,
加强自我防护意识,1,1,,,,,,,,,,,,,,,,,,,
病毒在地球消失了，他去火星了,1,1,,,,,,,,,,,,,,,,,,,
早就应该放开,1,1,,,,,,,,,,,,,,,,,,,
疫情已经消失，恢复正常生活了,"0,8,14","0,8,14",,,,,,,,,,,,,,,,,,,
这事就不要再提起了，我都忘记了，过去的就过去吧！,1,1,,,,,,,,,,,,,,,,,,,
口罩厂家倒霉了,1,1,,,,,,,,,,,,,,,,,,,
说明国家解封是正确的。,"0,8,11","0,8,11",,,,,,,,,,,,,,,,,,,
都是国家对疫情把控的恰到好处，感谢有国有家！,"0,16,22","0,16,22",,,,,,,,,,,,,,,,,,,
肯定是被烟花爆竹炸消失了,1,1,,,,,,,,,,,,,,,,,,,
真希望疫情彻底结束，让我们恢复以前的正常生活,"0,14,23","0,14,23",,,,,,,,,,,,,,,,,,,
我昨天还看到专家说的四五月份有，怎么过了一晚上又变了，希望从此以后国泰民安,"0,34,38","0,34,38",,,,,,,,,,,,,,,,,,,
有人放毒吧？,1,1,,,,,,,,,,,,,,,,,,,
专家说春节后期间大流行，怎么现在砖家判断出问题了？,"2,17,24","2,17,24",,,,,,,,,,,,,,,,,,,
有很多(志愿者)们心理不平衡啦。,1,1,,,,,,,,,,,,,,,,,,,
真这样就好了，5/6月份就知道了。,1,1,,,,,,,,,,,,,,,,,,,
好久不见大白，甚是想念。,1,1,,,,,,,,,,,,,,,,,,,
毒株站队了，你是哪种？,1,1,,,,,,,,,,,,,,,,,,,
反复阳也太可怕了！,"2,6,8","2,6,8",,,,,,,,,,,,,,,,,,,
致敬一线医护人员！,1,1,,,,,,,,,,,,,,,,,,,
具有时代特色的看图写话。,1,1,,,,,,,,,,,,,,,,,,,
睡不着写了一个阳过13天的亲身经历、希望能帮助到那些还没阳的人，愿我们都能早日渡过这段难熬的日子…,"0,33,49","0,33,49",,,,,,,,,,,,,,,,,,,
阳后20天，不再咳嗽，嗅觉味觉还是有点缺陷，有些味道闻不见，吃东西吃不出来食物独有的味道，但也不影响我吃。,1,1,,,,,,,,,,,,,,,,,,,
保定，过峰了！,"0,4,7","0,4,7",,,,,,,,,,,,,,,,,,,
当别人还在担心阳的时候，我们已经恢复正常生活了，当然，大家还是很自觉的戴着口罩。,1,1,,,,,,,,,,,,,,,,,,,
判断疫情形势既要看大街上，更要看医院的急诊和发热门诊，还有药品供应情况，最好用数据说话。放开后，没看到保定市关于发热门诊、急诊、ICU等数据。,1,1,,,,,,,,,,,,,,,,,,,
恢复中的保定，吃个饭都需要排队了。,1,1,,,,,,,,,,,,,,,,,,,
我就想问，你们有嗅觉吗？昨晚上就失去嗅觉了我有没有早阳的人说一下多久恢复？,1,1,,,,,,,,,,,,,,,,,,,
感觉周围都阳了一遍，现在是不是进入到相对安全的一个阶段了？我还有3盒连花清瘟，应该用不到了吧。,1,1,,,,,,,,,,,,,,,,,,,
保定哪里能买到泰诺林对乙酰氨基酚混悬液呀？,1,1,,,,,,,,,,,,,,,,,,,
刚刚得到消息，同学老婆走了，病因不详。前几天，一位同学的母亲去世。这两天看网上的消息，心情真的很不舒服。附近的人都羊了，我这银人天天也是忐忑不安，尽量少去人多的地方吧。,2,2,,,,,,,,,,,,,,,,,,,
虽然我还没有阳过，但身边所有人都阳一个遍然后正常上班逛街去了，我想坚持到决赛圈。,1,1,,,,,,,,,,,,,,,,,,,
按照学校的统计数据推算，最先放开的保定已经达成了群体免疫。,1,1,,,,,,,,,,,,,,,,,,,
马路上人流量刚刚恢复，保定交警就迫不及待开始在路口拦电动车罚钱了，这架势是要把前半个月的罚款都罚回来吧！前一阵路上人少的时候咋不见他们出来呢？,1,1,,,,,,,,,,,,,,,,,,,
第二天，持续低烧，除了嗜睡、皮肤极度敏感外无其他症状。回想前几天眼部极度不适，怀疑经眼睛感染。昨天去做了核酸，想确定是新冠还是重感冒，现在还未出结果。,1,1,,,,,,,,,,,,,,,,,,,
四点多起来起来喝药，保定病毒果然名不虚传，为啥我眼热，一闭眼有火辣辣的疼,1,1,,,,,,,,,,,,,,,,,,,
保定恢复了，给了清零派一记响亮的耳光！悲观和惊恐不安的人，慢慢打消了顾虑，预计中的大崩溃，并没有出现。医疗资源很紧张，但因为并没出现挤兑，依然井然有序。这些天，清零派对疫情前景非常悲观，传出很多质疑的声音，还有一些不良的臆想，甚至有人呼吁，重新封控，恢复全员核酸检测。,1,1,,,,,,,,,,,,,,,,,,,
我第14天，下午发烧38.6，上医院发热门诊做了ct发现肺炎了，大家该吃药吃药，没吃过消炎药。哎，千万别不吃药不吃消炎药。,1,1,,,,,,,,,,,,,,,,,,,
既然毒株一样，那么为什么广州无症状多，而且官方还解释了发烧不算无症状，而且广州那边街上人也比保定多，而且广州疫情讨论发烧的比保定，北京少。那就研究下气候，湿度，天气，空气质量那些对疫情的影响吧。,1,1,,,,,,,,,,,,,,,,,,,
买了两盒连花清瘟备着，谁知道阳了之后也没用这玩意。谁如果有困难，很需要连花清瘟。我可以免费给你！,1,1,,,,,,,,,,,,,,,,,,,
家人们，现在头疼的厉害但是体温正常是什么情况啊，昨天的抗原是阴性。,1,1,,,,,,,,,,,,,,,,,,,
再也不得瑟了，38.7了。,1,1,,,,,,,,,,,,,,,,,,,
我惊奇地发现，有这样的一群人，从来没阳过，放开以前没有阳过，放开以后还是没阳过，这群人身上都有一个共同的特点：死宅。他们喜欢宅在家里，独来独往，几乎不社交，不喜欢人多的地方，吃饭点外卖，购物用网购，想密接都难啊。,1,1,,,,,,,,,,,,,,,,,,,
再头铁也遭不住了，还是保定版的病毒。,1,1,,,,,,,,,,,,,,,,,,,
爷爷住不到院，去医院排号还必须患者自己再过道等着（不管排几天），社区医院拍片子肺部白化面积不小，我在北京满是担心，爷爷85了，经不起大医院排号折腾，只能在社区医院输液和吃中药，起到的作用微乎其微，希望官方机构给些解决办法吧。,1,1,,,,,,,,,,,,,,,,,,,
现在看，无论是主动的还是被动的，保定和石家庄都为这次里程碑式的“疫情放开”做出了具有试验性和牺牲性的巨大贡献。,0，51，54,0，51，54,,,,,,,,,,,,,,,,,,,
早上起床感觉不对劲，体温从37.5飙升到39.2，保定最后一批小阴人失守,1,1,,,,,,,,,,,,,,,,,,,
保定很严重吗？我的快递都卡保定中转了,1,1,,,,,,,,,,,,,,,,,,,
很多外地IP迫不及待地宣布保定闯关成功。,1,1,,,,,,,,,,,,,,,,,,,
身体没有不适，还一直是俩杠，也不敢出门啊！,1,1,,,,,,,,,,,,,,,,,,,
领导亲戚因为新冠去世了，70多了有基础病。最后肺都已经变白，昨天找特效药也没有用。唉，家里有老人并且有基础病的注意点吧，以前都是听说有因为新冠去世的，但是这个却是真实发生在身边的。,2，34，40,2，34，40,,,,,,,,,,,,,,,,,,,
放开之后确实好多基础病的老人怕是难熬了…偶然刷到一个视频“烧人都排队叫号了”，停车场车都停满了，再看评论区的评论让我破防了，眼泪忍不住的流，亲人的生死离别让人悲痛欲绝，这该死的疫情…,2，59，61，80，83,2，59，61，80，83,,,,,,,,,,,,,,,,,,,
随着全国放开，最开始在保定疫情话题下冷嘲热讽他人发烧说难受的人是防控爱好者的声音越来越少了，那时候话题下说自己发烧难受都是罪过，“感冒而已，你没感冒过？”“你封一辈子吧封控爱好者”。真的是刀子不割在自己身上永远不知道疼，希望当初阴阳怪气的人中招后千万别喊疼。,2，19，24,2，19，24,,,,,,,,,,,,,,,,,,,
我爸抗原阳性，但是他没症状，我和我妈抗原阴性，我和我妈昨天开始发高烧，昨晚是难受的不行，浑身疼，今天第二天了，比昨天好受一些，会不会反复烧啊？,1,1,,,,,,,,,,,,,,,,,,,
怎么回了保定第五天还没阳啊，和阳了的人天天呆在一起，我该不会是第五个超级免疫者吧，哈哈哈哈哈哈。,0，35，39,0，35，39,,,,,,,,,,,,,,,,,,,
家里燃气灶坏了，找售后报修，售后小姐姐用沙哑的嗓子一边咳嗽一边问我:你阳的还是阴的？阳的师傅一会就能来，阴的话暂时没有师傅能去，要等明后天看情况。,1,1,,,,,,,,,,,,,,,,,,,
上礼拜买的韵达快递飕飕快，三天到我手里，所以这次指名要发韵达，这不会是第二波发烧又开始了吧。,1,1,,,,,,,,,,,,,,,,,,,
谈到待遇就是奉献，谈到风险就是责任，最后领导还得给你加一句政治觉悟，千万不要学医，也不要在医院工作，不然医学滚烫，能烫死你的人间理想……,2，35，40,2，35，40,,,,,,,,,,,,,,,,,,,
我终于被放出来的阳群们搞得有点不舒服了，没办法，少数服从多数嘛～头疼。,2，16，18,2，16，18,,,,,,,,,,,,,,,,,,,
冬天来了！,1,1,,,,,,,,,,,,,,,,,,,
让放开的那些负责人，你们做放开的万全准备了吗？现在的什么情况待在家里看热闹的你们知道吗？何止医务系统崩溃，连火葬场系统都是崩溃的，这样的放开你们满意吗？不是120的错，确实不是，那请问应该是谁的错？我们欠，我们该，我们就该得这个病？,"2,108,116","2,108,116",,,,,,,,,,,,,,,,,,,
真TM的想爆粗口，这都什么人，朋友好好的防护着，努力上班，家里还有孩子，这人的道德素质太低下了！,2，40，46,2，40，46,,,,,,,,,,,,,,,,,,,
结婚四个月了，我俩在一起连着没住过超7天，后来又因为疫情，封校封村，我阳他阳，好家伙，今天可算找到点我俩是结婚了的感觉了。,1,1,,,,,,,,,,,,,,,,,,,
如果确定自己已经被感染，麻烦大家丢垃圾的时候最好消杀一下，很多清运垃圾的环卫工人年龄都比较大，如果他们阳了，各种并发症会让他们可能再也起不来，一个小举动就可以帮他们降低感染风险。关怀一下他们。谢谢！,1,1,,,,,,,,,,,,,,,,,,,
阳性第11天，第7天转阴，身子骨还是有点虚，实话实说啊我自认为自己体格子算好的，确实后期有影响。乏力，精神不集中，晚上2点睡觉得我，11点就困的不信行了。,1,1,,,,,,,,,,,,,,,,,,,
又反复了捏，喝布洛芬喝不下去。,1,1,,,,,,,,,,,,,,,,,,,
保定的情况比上周有所好转，路上车也慢慢有了。果然，时间是最好的溶解剂！,0，9，12,0，9，12,,,,,,,,,,,,,,,,,,,
都说白沟那边的病毒毒性强，我不信邪，前天见客户去了一趟，结果晚上回来就觉得嗓子发紧，鼻塞还不停打喷嚏，测了个抗原两道杠，半夜开始发烧，昨天一天烧得欲生欲死，脑袋像是被电钻钻了，嗓子像被砂纸反复摩擦，眼珠子都疼。,1,1,,,,,,,,,,,,,,,,,,,
唯有患难见真情。在目前这个抗原比金子贵的时代，患难见真情的人真的不多了。,1,1,,,,,,,,,,,,,,,,,,,
现在的疫情防控，是不得已的放开了，固守动态清零的方式已经不可行，让我们面对现实吧，积极防护，稳妥治疗，不要在网上吵来吵去了。,1,1,,,,,,,,,,,,,,,,,,,
第二轮都开始了 不防抗不住啊！,1,1,,,,,,,,,,,,,,,,,,,
前天下午去单位，领导家里亲戚有重病人需住院急救，才知道了保定的医院住院好难，重症病人到了急诊，ICU，全科都没有病床，找了二个三甲医院熟人，都说没有病床，好不容易才住进医院，现在新冠对有基础病的老年人影响太大了,2，55，58,2，55，58,,,,,,,,,,,,,,,,,,,
感染第6天，一侧膝盖疼，平着也疼，打弯也疼，有没有一躺下就咳嗽的人，就是刚睡着就会咳醒，咳得很厉害，没法入睡，站着还好点，只要躺下就咳得特别严重，好不容易睡着，在梦中咳的一醒来就吐了，一晚上都这样。,1,1,,,,,,,,,,,,,,,,,,,
保定小市民前来报告：目前家里哥哥姐姐父母全都阳过了，截止到今天全都痊愈。我个人出行，坚持口罩，带好消毒措施做好，不聚集。我个人并没有阳。目前周围的朋友基本上都阳过了，并且痊愈。保定这个城市将会成为全国第一个彻底解放，彻底击败病毒的城市。没有医疗挤兑，没有重症死亡。,0，109，114,0，109，114,,,,,,,,,,,,,,,,,,,
来村里赶大集啊！保定市易县南管头村大集热闹非凡，整个市场很是热闹，小商小贩还有赶集的人们乐此不疲的讨价还价购着年货！愿病毒早日散去，回归正常生活！,0，59，65,0，59，65,,,,,,,,,,,,,,,,,,,
保卫黄河，保卫华北，保卫全中国，风在吼，马在叫，黄河在咆哮。,0，11，15,0，11，15,,,,,,,,,,,,,,,,,,,
上班两周了，周边同事都阳了一遍了，我仍然没有发烧感冒得症状。,1,1,,,,,,,,,,,,,,,,,,,
瑟瑟发抖，阳了也不过如此吧。,1,1,,,,,,,,,,,,,,,,,,,
今年疫情为何没完没了，就因为这些社会垃圾在从中作梗。这些杂种社会渣渣。,2，27，34,2，27，34,,,,,,,,,,,,,,,,,,,
广州，重庆，石家庄，保定会不会是靠前达峰然后逐步恢复正常生活的地区？因为这些地方前段有的最先放开，有的前段已经传染了很多人了，很多人先有了抗体。,1,1,,,,,,,,,,,,,,,,,,,
第八天，还是会咳嗽，胸闷总感觉是后遗症。,1,1,,,,,,,,,,,,,,,,,,,
都有死的了，别不当回事！,2，7，11,2，7，11,,,,,,,,,,,,,,,,,,,
报告广大人民群众，保定市目前没有出现医疗挤兑。保定市民心情稳定。没有任何恐慌，各行各业都在稳步进行。准备过年,1,1,,,,,,,,,,,,,,,,,,,
虽然放开了，但是有一个必须承认的事实是：在2019年12月-2021年12月期间，中国几乎是没有躺派声音的，因为所有人都知道全世界正在发生什么。我们战疫胜利之后换来的两年平稳时光和欢乐场景，和纽约的万人坑景象形成了鲜明的对比。那时候的胜利，依靠的是天量的财政投入、无数公立医院的千里驰援。,1,1,,,,,,,,,,,,,,,,,,,
行程码没有了，一个时代过去了。始于武汉 终于保定。,1,1,,,,,,,,,,,,,,,,,,,
